,index,Titulo,Tipo,Descripcion,Año de lanzamiento,Clasificacion por edad,Duracion,imdb_usuario,imdb_puntuacion,imdb_votos
67,127.0,InuYasha,SHOW,"Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and posseses the ""Jewel of Four Souls"" (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow.",2000,TV-14,25,tt0290223,7,15823
68,128.0,Any Given Sunday,MOVIE,A star quarterback gets knocked out of the game and an unknown third stringer is called in to replace him. The unknown gives a stunning performance and forces the ageing coach to reevaluate his game plans and life. A new co-owner/president adds to the pressure of winning. The new owner must prove herself in a male dominated world.,1999,R,162,tt0146838,6,118479
69,130.0,Desperado,MOVIE,"Mariachi plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho, for an action-packed, bullet-riddled showdown. With the help of his best friend and a beautiful bookstore owner, the Mariachi tracks Bucho, takes on his army of desperados, and leaves a trail of blood of his own.",1995,R,104,tt0112851,7,183638
70,131.0,The Mask of Zorro,Sin_informacion,"It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter.",1998,PG-13,136,tt0120746,6,181306
71,132.0,The Patriot,MOVIE,"After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son.",2000,R,165,tt0187393,7,270231
72,133.0,Road Trip,MOVIE,"From the director of the Hangover trilogy and Joker, Road Trip is a raunchy college comedy classic.  After an Ithaca college student films his one-night stand with a beautiful sorority girl, he discovers one of his friends has accidentally mailed the homemade porn tape to his girlfriend. In a frenzy, he must borrow a car and hit the road in a desperate bid to intercept the tape.  Featuring a talented cast that includes Breckin Meyer, Rachel Blanchard, Seann William Scott, Amy Smart, Fred Ward, Tom Green, Anthony Rapp, Andy Dick, and Ethan Suplee.",2000,R,93,tt0215129,6,167670
73,134.0,Free Willy,MOVIE,"When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, with the help of kindly whale trainer Rae Lindley, develop a routine of tricks. However, greedy park owner Dial soon catches wind of the duo and makes plans to profit from them.",2015,PG,112,tt0106965,6,75244
74,135.0,3 Ninjas Kick Back,MOVIE,"During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge.",1994,PG,93,tt15327306,4,9208
75,136.0,In the Line of Fire,MOVIE,"Veteran Secret Service agent Frank Horrigan is a man haunted by his failure to save President Kennedy while serving protection detail in Dallas. Thirty years later, a man calling himself ""Booth"" threatens the life of the current President, forcing Horrigan to come back to protection detail to confront the ghosts from his past.",1993,R,128,tt0107206,7,101939
76,137.0,The Replacements,MOVIE,"Maverick old-guard coach Jimmy McGinty is hired in the wake of a players' strike to help the Washington Sentinels advance to the playoffs. But that impossible dream hinges on whether his replacements can hunker down and do the job. So, McGinty dusts off his secret dossier of ex-players who never got a chance (or screwed up the one they were given) and knits together a bad-dream team of guys who just may give the Sentinels their title shot.",2000,PG-13,118,tt0191397,6,64087
77,138.0,Johnny Mnemonic,MOVIE,"In a dystopian 2021, Johnny is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limitsâ€”and will kill him if the data is not removed in timeâ€”but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.",1995,R,97,tt0113481,5,71062
78,139.0,Little Women,MOVIE,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.",1994,PG,79,tt0110367,7,57621
79,140.0,Anaconda,MOVIE,"A ""National Geographic"" film crew is taken hostage by an insane hunter, who takes them along on his quest to capture the world's largest - and deadliest - snake.",1997,PG-13,89,tt0118615,4,103459
80,141.0,My Girl,MOVIE,"Vada Sultenfuss is obsessed with death. Her mother is dead, and her father runs a funeral parlor. She is also in love with her English teacher, and joins a poetry class over the summer just to impress him. Thomas J., her best friend, is ""allergic to everything"", and sticks with Vada despite her hangups. When Vada's father hires Shelly, and begins to fall for her, things take a turn to the worse...",1991,PG,103,tt0102492,6,79800
81,142.0,Cliffhanger,MOVIE,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.",1993,R,112,tt0106582,6,128179
82,2632.6921658986175,I Know What You Did Last Summer,MOVIE,"After four high school friends are involved in a hit-and-run road accident, they dispose of the body and vow to keep the incident a secret. A year later, they each start receiving anonymous letters bearing the warning ""I Know What You Did Last Summer.""",1997,R,101,tt0119345,5,142696
83,144.0,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Sin_informacion,"The Turtles and the Shredder battle once again, this time for the last cannister of the ooze that created the Turtles, which Shredder wants to create an army of new mutants.",1991,PG,88,tt0103060,6,55499
84,145.0,Barney & Friends,SHOW,"Barney & Friends is an American children's television series aimed at children from ages 2 to 5. The series, which first aired on April 6, 1992, features the title character Barney, a purple anthropomorphic Tyrannosaurus rex who conveys educational messages through songs and small dance routines with a friendly, optimistic attitude.

New episodes have not been produced since 2009; however reruns continue to air on various PBS stations.",1992,TV-G,28,tt0144701,3,9955
85,146.0,Hollow Man,MOVIE,"Cocky researcher, Sebastian Caine is working on a project to make living creatures invisible and he's so confident he's found the right formula that he tests it on himself and soon begins to vanish. The only problem is: no-one can determine how to make him visible again. Caine's predicament eventually drives him mad, with terrifying results.",2000,R,112,tt0164052,5,130099
86,147.0,Godzilla,MOVIE,"French nuclear tests irradiate an iguana into a giant monster that viciously attacks freighter ships in the Pacific Ocean. A team of experts, including Niko Tatopoulos, conclude that the oversized reptile is the culprit. Before long, the giant lizard is loose in Manhattan as the US military races to destroy the monster before it reproduces and it's spawn takes over the world.",1998,PG-13,133,tt0120685,5,191722
87,149.0,Sin_informacion,MOVIE,"After being murdered by corrupt colleagues in a covert government agency, Al Simmons makes a pact with the devil to be resurrected to see his beloved wife Wanda. In exchange for his return to Earth, Simmons agrees to lead Hell's Army in the destruction of mankind.",1997,PG-13,96,tt0120177,5,67761
88,150.0,Dennis the Menace,MOVIE,Mr. Wilson's ever-present annoyance comes in the form of one mischievous kid named Dennis. But he'll need Dennis's tricks to uncover a collection of gold coins that go missing when a shady drifter named Switchblade Sam comes to town.,1993,PG,95,tt0106701,5,60779
89,151.0,The Net,MOVIE,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down and make her the target of an assassination.",1995,PG-13,114,tt0113957,5,66127
90,152.0,The Devil's Own,MOVIE,"Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder.",1997,R,79,tt0962637,6,23794
91,153.0,Croupier,MOVIE,"Jack Manfred is an aspiring writer who to make ends meet, takes a job as a croupier. Jack remains an observer, knowing that everything in life is a gamble and that gamblers are born to lose. Inevitably, he gets sucked into the world of the casino which takes its toll on his relationships and the novel he is writing.",1998,R,94,tt0159382,7,21382
92,154.0,Teenage Mutant Ninja Turtles III,MOVIE,"The four turtles travel back in time to the days of the legendary and deadly samurai in ancient Japan, where they train to perfect the art of becoming one. The turtles also assist a small village in an uprising.",1993,PG,96,tt0108308,4,33128
93,155.0,The General's Daughter,MOVIE,"When the body of Army Capt. Elizabeth Campbell is found on a Georgia military base, two investigators, Warrant Officers Paul Brenner and Sara Sunhill, are ordered to solve her murder. What they uncover is anything but clear-cut. Unseemly details emerge about Campbell's life, leading to allegations of a possible military coverup of her death and the involvement of her father, Lt. Gen. Joseph Campbell.",1999,R,116,tt0144214,6,58726
